firm_id,innovation_score,ai_intensity,prior_innovation,rd_intensity,digital_capability,ln_employment,firm_age,export_share,industry
386,32.84,1.35,19.74,1.8,2.75,3.76,10.91,0.17,2
387,52.73,5.08,38.05,5.77,5.85,5.36,17.48,0.34,5
388,49.72,5.23,41.4,6.19,4.99,6.03,8.37,0.32,2
389,43.94,3.73,34.89,4.0,5.55,5.82,15.25,0.29,6
390,43.65,4.47,41.79,4.69,4.87,5.97,24.81,0.03,6
391,42.13,2.41,29.93,1.35,6.05,4.83,33.33,0.23,4
392,50.72,4.52,50.97,6.07,5.48,5.48,20.7,0.08,4
393,53.9,4.04,46.42,7.55,5.42,4.94,5.86,0.19,2
394,41.1,3.86,30.18,4.94,4.68,4.94,13.48,0.32,6
395,55.74,6.89,51.9,6.78,6.76,6.57,17.22,0.33,2
396,45.57,4.05,42.81,4.67,6.87,3.79,19.33,0.42,2
397,46.66,1.91,43.28,4.58,5.45,4.68,8.59,0.12,6
398,51.0,5.1,43.69,6.23,6.57,5.21,6.31,0.15,1
399,49.98,3.57,45.73,5.09,6.32,6.36,11.88,0.17,3
400,41.99,3.51,31.95,5.46,4.55,5.06,14.45,0.0,2
401,23.94,0.0,22.25,3.76,3.72,5.8,45.0,0.0,3
402,68.64,7.79,65.64,6.99,9.24,6.85,10.28,0.0,4
403,18.47,0.0,26.67,0.2,2.98,3.97,20.0,0.0,3
404,59.32,5.36,44.71,5.18,6.31,5.89,2.61,0.36,6
405,60.78,7.65,53.17,8.38,8.81,3.68,8.21,0.26,2
406,45.71,3.07,40.38,4.59,5.25,5.47,23.97,0.26,4
407,18.86,0.0,21.08,0.2,4.62,3.96,13.66,0.0,2
408,53.53,5.99,51.26,7.48,5.13,6.31,12.75,0.2,4
409,53.69,5.89,48.12,6.65,8.24,5.09,9.17,0.28,1
410,47.0,2.84,43.7,6.02,5.71,5.6,13.62,0.0,2
411,14.72,0.0,12.04,0.7,1.45,3.9,9.7,0.23,1
412,56.98,6.48,51.41,8.92,5.15,6.05,17.23,0.22,3
413,41.37,3.13,32.65,3.39,3.36,4.27,14.45,0.0,1
414,32.67,2.55,30.95,3.81,3.04,3.98,19.43,0.0,5
415,38.1,1.07,22.98,1.87,5.19,5.07,15.35,0.12,2
416,46.25,4.3,32.29,4.85,4.46,4.68,23.62,0.29,2
417,59.59,5.33,47.44,8.18,6.89,5.57,6.03,0.23,6
418,55.69,6.53,46.17,6.3,6.72,5.21,4.93,0.3,3
419,44.84,8.1,35.4,5.53,4.85,5.28,22.57,0.34,1
420,43.01,4.04,42.14,5.6,2.79,4.04,9.12,0.36,5
421,44.38,1.74,41.28,4.79,4.67,5.0,10.53,0.27,6
422,65.87,6.35,49.0,8.36,6.54,4.93,7.26,0.27,3
423,36.03,1.06,27.72,2.83,3.55,4.27,20.89,0.0,6
424,36.96,3.91,31.24,3.44,5.14,4.48,13.04,0.17,3
425,50.19,2.65,39.52,6.46,5.87,4.12,19.8,0.21,4
426,48.98,3.69,43.14,5.06,4.88,5.2,33.25,0.41,4
427,51.77,3.74,41.55,4.51,5.69,4.65,11.84,0.16,3
428,38.52,3.67,36.07,4.44,3.51,5.9,6.54,0.21,2
429,56.53,7.79,44.41,7.09,7.1,6.31,5.2,0.26,1
430,34.93,3.03,25.98,3.65,2.94,5.04,14.58,0.1,2
431,58.38,7.64,53.38,7.5,8.41,4.95,19.42,0.31,3
432,69.2,6.25,52.02,8.09,6.69,7.52,6.6,0.17,6
433,28.09,3.36,30.78,1.58,4.83,4.27,12.34,0.1,4
434,41.28,2.6,35.94,4.8,5.05,5.66,5.04,0.0,1
435,48.73,5.34,44.87,8.42,4.89,5.19,5.76,0.22,5
436,50.56,4.87,45.66,5.7,5.57,5.36,10.39,0.27,3
437,45.63,4.55,33.64,6.32,5.15,4.88,4.91,0.1,1
438,30.71,0.0,25.42,5.49,3.63,3.93,14.69,0.0,1
439,33.3,1.13,23.24,3.47,2.67,4.88,24.27,0.16,5
440,50.43,3.88,35.48,4.79,5.05,5.29,4.06,0.25,3
441,41.88,5.48,40.15,4.43,4.86,5.34,6.16,0.25,1
442,48.71,4.95,41.24,5.9,7.77,5.66,26.44,0.0,6
443,32.38,4.51,34.99,5.12,5.18,4.04,18.79,0.18,2
444,33.1,3.87,37.18,3.24,4.44,4.36,11.19,0.0,5
445,44.93,2.73,41.13,5.62,4.19,6.44,9.25,0.04,3
446,43.02,2.82,31.23,6.9,5.2,4.04,8.35,0.08,5
447,35.55,3.0,21.92,3.08,2.53,5.94,33.71,0.23,3
448,41.31,1.14,41.15,4.0,4.33,5.04,16.35,0.0,3
449,52.94,4.97,45.9,4.67,6.33,5.49,15.15,0.12,4
450,40.11,4.25,38.75,2.7,7.94,5.7,22.38,0.21,4
451,42.49,2.48,25.53,1.81,5.28,5.08,18.59,0.15,4
452,57.33,3.82,42.17,7.47,6.13,6.55,13.49,0.08,2
453,55.29,6.6,62.9,9.09,6.01,6.32,23.32,0.02,6
454,48.98,5.67,32.91,4.34,2.57,3.41,11.07,0.1,1
455,33.4,2.01,21.91,5.13,4.14,2.97,9.38,0.13,5
456,35.13,2.56,23.96,3.41,3.36,4.99,3.67,0.0,5
457,23.91,2.04,27.06,4.13,3.98,4.52,22.16,0.03,2
458,53.11,4.15,49.89,5.06,5.92,6.48,26.92,0.09,6
459,20.86,2.81,24.95,4.37,3.07,5.17,20.47,0.06,1
460,56.63,7.45,50.28,7.3,7.86,5.66,22.5,0.27,2
461,42.88,2.68,33.38,3.39,6.11,3.84,6.62,0.16,4
462,28.37,2.6,24.48,2.75,4.05,4.45,8.3,0.12,5
463,28.7,2.55,31.05,4.2,2.07,4.69,22.89,0.09,1
464,45.16,2.18,38.93,6.07,6.03,4.76,26.43,0.26,1
465,46.77,4.34,37.67,4.32,6.15,3.93,6.1,0.18,5
466,29.18,0.78,24.06,3.91,3.16,4.78,13.35,0.26,1
467,36.86,0.0,32.96,3.85,2.14,5.56,11.76,0.06,4
468,27.44,3.2,25.56,3.79,3.42,4.18,9.68,0.19,5
469,37.46,2.41,35.25,4.25,4.79,5.21,11.37,0.0,4
470,44.08,8.38,40.13,4.9,6.47,6.49,10.4,0.3,5
471,48.88,4.25,44.87,4.6,4.46,4.55,15.37,0.22,2
472,65.99,5.01,56.99,5.64,7.04,6.64,17.27,0.24,4
473,41.97,1.46,35.44,2.63,3.83,4.85,19.73,0.02,3
474,45.2,2.48,24.87,4.25,2.96,4.72,15.81,0.2,1
475,59.36,7.79,44.23,7.64,7.44,5.49,12.83,0.41,6
476,41.44,3.71,36.42,3.95,5.48,6.32,14.24,0.25,6
477,46.37,4.81,50.72,6.49,5.02,3.81,6.63,0.07,3
478,39.25,0.49,34.11,2.74,2.72,4.81,10.7,0.0,4
479,47.54,2.4,41.9,5.44,4.32,5.17,45.0,0.0,4
480,34.97,1.67,31.57,3.54,6.93,5.02,7.57,0.31,1
481,56.29,4.72,48.8,5.48,6.14,5.54,10.47,0.21,4
482,37.93,2.08,34.39,3.51,5.03,3.76,12.61,0.15,4
483,31.34,2.88,32.47,0.58,5.5,3.78,9.22,0.14,3
484,73.89,8.73,61.18,9.04,7.39,6.53,6.56,0.45,3
485,48.49,3.59,41.24,7.02,5.76,4.47,5.86,0.22,1
486,61.14,7.43,49.52,7.81,7.93,6.4,9.49,0.3,4
487,32.21,1.52,32.36,4.79,1.59,5.25,8.01,0.08,3
488,30.06,3.61,34.47,3.86,5.0,6.56,8.19,0.11,2
489,62.49,6.17,40.78,9.18,7.12,6.05,8.49,0.33,4
490,52.44,5.99,38.64,5.47,5.3,4.85,15.14,0.34,5
491,43.05,4.22,45.93,4.43,6.11,4.95,24.18,0.25,5
492,26.93,0.0,23.32,2.9,2.58,4.64,6.57,0.02,3
493,31.34,2.91,33.55,3.6,5.44,5.35,6.49,0.04,6
494,38.77,4.46,33.76,4.88,3.75,5.36,19.53,0.19,5
495,41.75,5.24,34.89,4.16,4.67,4.57,8.02,0.25,1
496,46.67,7.4,41.06,5.5,8.19,5.55,15.95,0.31,6
497,40.36,3.64,23.33,4.79,5.01,6.66,6.44,0.09,2
498,59.87,5.44,43.1,5.55,6.12,6.08,15.82,0.07,4
499,56.39,4.27,39.69,4.61,7.76,5.37,6.01,0.32,4
500,26.03,0.23,21.3,1.06,3.29,3.82,28.34,0.1,2
501,56.42,7.76,38.74,5.27,6.03,5.77,6.43,0.11,5
502,63.5,6.73,53.37,7.41,7.81,7.06,15.79,0.34,4
503,54.81,5.98,49.95,6.46,6.73,4.75,9.82,0.26,4
504,17.03,1.02,25.65,2.13,3.21,3.92,9.46,0.05,2
505,58.4,3.66,39.82,6.4,7.36,5.0,3.33,0.2,3
506,25.15,2.92,21.16,1.72,3.77,4.24,13.8,0.11,3
507,34.74,2.14,33.7,3.4,4.14,5.23,7.38,0.11,2
508,31.16,2.92,28.05,2.11,3.52,4.43,12.35,0.0,6
509,46.33,5.82,36.53,5.43,4.91,4.24,4.0,0.08,6
510,56.31,5.6,48.33,8.22,5.7,4.67,24.93,0.32,5
511,35.45,5.65,23.79,4.5,3.46,4.05,7.11,0.04,3
512,46.38,7.56,38.91,5.07,4.63,5.15,27.37,0.37,1
513,31.49,5.8,34.09,4.62,3.88,6.31,13.21,0.28,2
514,32.32,5.73,30.99,3.37,6.15,5.93,25.66,0.2,4
515,45.26,3.32,40.73,5.88,5.45,5.79,10.63,0.0,6
516,38.32,5.96,37.94,6.46,4.75,6.92,7.86,0.08,6
517,19.96,0.0,17.29,1.98,2.92,3.35,7.31,0.16,2
518,43.0,6.63,32.02,7.06,6.17,5.85,10.73,0.04,5
519,42.68,4.42,36.5,5.23,3.95,5.46,9.97,0.16,3
520,11.78,0.0,23.15,0.2,3.45,3.5,26.82,0.0,1
521,33.26,2.3,34.5,3.63,4.6,3.81,14.04,0.04,4
522,38.77,4.97,29.66,4.13,2.96,5.43,8.4,0.02,4
523,49.2,4.51,42.43,5.39,6.25,3.2,23.51,0.21,4
524,43.94,4.18,36.74,3.78,6.56,5.84,15.56,0.15,2
525,78.42,8.31,63.69,8.81,7.27,6.24,9.66,0.52,4
526,50.4,5.23,34.57,8.49,5.06,4.18,30.18,0.13,6
527,46.97,5.91,36.11,5.58,4.11,4.91,34.18,0.22,6
528,41.03,3.33,36.99,5.83,6.97,3.25,8.22,0.1,2
529,24.43,0.0,16.02,1.18,3.14,4.93,11.84,0.05,2
530,46.85,2.35,35.45,1.1,5.84,4.95,26.11,0.18,4
531,36.62,4.84,34.17,3.77,5.67,5.18,4.8,0.0,2
532,27.03,1.17,22.91,1.74,1.03,3.43,9.51,0.25,1
533,59.09,5.74,43.61,9.26,5.03,5.83,17.92,0.17,6
534,43.68,3.45,43.12,5.22,4.14,5.48,25.35,0.2,5
535,50.91,4.78,45.27,5.86,6.59,5.29,20.28,0.12,5
536,43.31,5.5,48.2,4.75,5.11,3.7,8.03,0.3,4
537,15.78,0.0,25.2,2.18,3.32,4.46,21.42,0.05,2
538,45.33,4.0,32.72,4.52,3.14,4.63,10.09,0.07,3
539,39.18,3.32,27.41,3.68,4.16,4.86,8.44,0.11,5
540,24.82,0.83,24.51,1.97,4.12,5.23,18.45,0.04,5
541,51.08,2.6,47.09,6.53,5.28,5.64,22.92,0.23,3
542,21.62,0.0,15.35,1.13,1.15,3.95,8.28,0.0,5
543,55.4,4.57,46.19,7.35,5.99,4.64,23.3,0.32,4
544,62.8,4.82,44.48,5.51,6.48,5.26,10.73,0.28,4
545,44.24,0.31,30.35,2.35,4.59,3.82,7.91,0.18,6
546,23.54,2.37,30.94,3.27,3.84,5.59,12.3,0.0,2
547,65.35,8.35,53.88,6.24,6.8,6.04,23.35,0.39,3
548,48.07,6.86,38.63,6.91,5.03,6.24,14.34,0.31,3
549,30.53,1.79,33.36,3.01,4.63,5.31,11.62,0.2,5
550,35.1,0.83,24.31,1.66,3.2,4.55,9.85,0.11,5
551,60.88,7.27,46.64,4.98,6.31,6.43,9.38,0.29,4
552,26.09,1.56,28.22,2.91,4.45,4.63,10.72,0.0,1
553,46.1,3.01,30.88,6.95,3.46,4.66,14.15,0.05,3
554,51.46,5.01,46.79,6.38,6.18,5.69,16.28,0.09,5
555,47.75,4.85,48.83,4.16,7.21,6.31,15.49,0.29,3
556,36.59,2.89,37.15,3.38,4.57,5.49,15.94,0.11,4
557,53.38,4.82,40.57,7.05,5.24,4.13,21.2,0.34,4
558,65.85,5.03,47.29,8.55,7.97,6.76,24.26,0.28,4
559,33.83,3.38,24.24,4.08,4.14,4.07,11.77,0.15,3
560,37.63,2.72,34.32,3.93,5.82,5.03,12.18,0.04,3
561,53.58,8.1,47.66,4.74,7.11,5.16,13.05,0.24,5
562,41.79,3.15,41.97,6.83,5.58,4.44,17.31,0.14,4
563,25.44,0.39,30.88,2.6,3.34,3.64,17.21,0.0,2
564,48.94,3.56,38.69,4.73,5.49,6.2,14.38,0.16,1
565,39.0,3.65,40.11,6.83,4.77,5.44,9.21,0.0,2
566,48.48,3.87,44.83,5.61,6.85,5.42,5.68,0.28,2
567,52.43,5.28,45.19,5.71,6.89,5.38,13.35,0.15,3
568,46.33,3.89,40.6,6.04,5.16,4.84,5.53,0.2,4
569,26.18,0.0,21.98,2.68,1.2,5.08,6.8,0.1,4
570,63.21,6.73,53.2,6.35,8.12,6.42,2.61,0.23,2
571,36.42,2.0,36.19,1.35,3.37,5.47,6.98,0.06,6
572,52.82,6.0,41.14,4.9,4.52,5.37,9.43,0.0,1
573,44.14,4.19,36.6,6.55,5.49,4.84,16.93,0.09,1
574,31.24,1.82,37.49,6.32,3.71,5.35,45.0,0.06,1
575,38.93,3.42,37.34,5.08,5.3,3.88,12.83,0.03,4
576,36.91,2.99,30.87,3.81,5.31,4.21,11.6,0.04,1
577,46.93,3.96,34.32,2.28,5.79,6.46,11.08,0.11,2
578,54.37,4.22,46.5,8.25,6.63,5.27,14.57,0.14,5
579,49.51,2.1,37.76,3.75,4.58,5.8,6.48,0.17,4
580,55.49,4.71,43.68,3.71,4.5,5.73,8.42,0.12,6
581,44.78,4.35,51.09,6.04,6.36,5.34,11.03,0.28,4
582,32.34,0.84,30.02,3.68,3.37,4.25,4.41,0.0,3
583,62.73,8.65,51.53,7.53,8.61,6.61,17.73,0.14,4
584,54.91,4.71,46.62,5.01,5.87,5.94,20.74,0.16,4
585,39.75,1.19,29.49,3.11,5.93,4.33,7.41,0.4,4
586,22.88,0.0,28.01,2.4,1.62,4.21,13.68,0.04,2
587,38.0,4.13,26.95,5.73,5.25,3.41,15.46,0.15,3
588,36.12,1.95,26.49,3.76,4.24,4.69,10.84,0.18,1
589,40.31,5.19,43.55,4.04,6.03,5.54,4.93,0.1,6
590,38.43,3.57,35.57,3.74,3.66,5.06,10.95,0.14,1
591,42.93,6.76,44.82,6.67,6.02,5.71,9.03,0.15,1
592,35.65,0.22,25.88,3.08,2.07,5.42,15.88,0.14,6
593,26.55,0.48,30.19,2.15,4.57,3.31,17.52,0.05,1
594,41.68,3.67,46.03,4.38,4.08,5.94,8.19,0.1,4
595,28.76,1.41,28.03,3.08,4.26,5.35,16.05,0.11,3
596,42.38,1.41,24.13,3.65,3.45,3.73,11.55,0.19,4
597,24.5,1.89,21.68,3.37,2.53,3.7,14.22,0.11,5
598,38.51,5.35,41.44,4.85,4.64,4.86,20.6,0.31,5
599,29.94,0.88,23.27,3.13,3.11,3.8,19.84,0.03,1
600,33.06,0.0,24.16,2.7,1.95,5.29,13.94,0.1,6
601,57.93,5.47,54.09,7.57,7.5,5.9,12.17,0.29,2
602,40.75,1.04,35.26,3.3,2.41,4.77,8.68,0.11,6
603,45.61,3.0,33.42,5.59,6.03,4.75,16.33,0.16,2
604,42.67,4.83,37.15,4.56,4.73,6.08,9.35,0.34,4
605,45.61,4.05,31.77,5.47,5.1,5.62,17.05,0.01,2
606,38.86,2.89,34.9,3.52,6.0,5.21,10.43,0.18,6
607,52.47,4.49,45.6,3.76,7.09,7.49,8.7,0.32,3
608,35.36,1.25,26.12,1.9,5.67,4.72,5.67,0.03,6
609,36.13,2.54,36.9,4.71,3.04,5.77,14.72,0.0,2
610,57.1,5.59,47.67,4.55,7.78,5.66,8.75,0.12,6
611,53.55,6.2,38.22,6.75,4.01,5.41,11.93,0.33,6
612,43.62,6.16,42.01,4.63,6.63,5.32,8.63,0.0,4
613,27.97,0.0,25.27,4.12,3.53,5.14,10.34,0.06,3
614,24.11,1.62,27.28,2.74,3.7,4.27,31.08,0.1,1
615,47.52,4.13,35.84,5.57,5.24,5.46,6.69,0.32,5
616,62.79,6.52,57.01,9.04,6.47,5.73,20.03,0.24,6
617,56.73,6.45,38.23,5.44,5.66,5.3,10.73,0.44,3
618,34.58,3.63,23.95,3.41,3.17,6.03,9.11,0.13,6
619,61.88,3.82,47.24,5.66,5.12,4.42,16.32,0.29,6
620,30.37,4.33,28.86,0.2,4.91,4.53,10.97,0.32,1
621,48.04,5.58,35.7,6.92,7.9,5.98,7.51,0.23,1
622,54.33,4.17,48.53,7.2,6.36,6.27,29.46,0.19,3
623,17.03,1.56,17.93,0.58,3.63,4.68,13.4,0.0,2
624,36.13,3.72,27.42,4.7,5.55,4.61,11.79,0.12,5
625,38.78,4.4,48.16,5.83,6.83,5.06,14.19,0.09,4
626,57.07,6.3,35.89,5.56,5.9,3.92,8.72,0.25,3
627,51.9,6.97,44.77,7.17,6.17,4.59,8.56,0.29,5
628,40.48,2.74,35.19,4.44,3.91,5.75,35.54,0.01,6
629,58.04,5.17,47.42,6.48,6.89,4.29,25.58,0.28,4
630,28.33,0.83,33.55,4.01,3.94,4.74,13.68,0.23,2
631,64.07,6.96,43.68,6.83,5.82,5.74,4.53,0.18,2
632,48.27,4.78,45.82,3.57,6.7,4.5,4.03,0.2,6
633,29.62,2.2,28.57,2.64,4.77,4.91,6.48,0.02,1
634,32.07,1.97,23.77,3.89,2.28,4.81,21.44,0.19,1
635,46.72,5.28,37.46,5.6,5.72,6.08,7.63,0.26,4
636,57.2,5.12,41.37,4.15,7.32,5.28,2.95,0.25,4
637,46.37,5.58,42.84,6.93,6.0,5.51,12.29,0.21,4
638,18.83,0.0,9.83,0.77,2.94,3.85,16.26,0.0,1
639,40.75,1.27,34.27,2.62,4.65,3.88,7.07,0.45,6
640,39.45,2.94,35.47,6.86,4.31,4.27,19.31,0.01,5
641,46.78,5.75,30.94,4.3,4.9,5.06,13.76,0.19,5
642,23.68,0.0,19.62,1.11,1.22,4.42,29.82,0.0,1
643,46.71,3.98,41.6,4.44,6.32,3.75,5.52,0.24,2
644,49.0,5.03,44.35,6.18,4.38,4.8,12.65,0.34,3
645,45.62,4.07,33.67,5.75,4.18,5.68,7.26,0.26,1
646,47.2,5.74,43.85,8.17,5.7,4.11,15.43,0.12,2
647,46.95,6.79,45.16,6.64,6.99,6.29,10.57,0.24,1
648,38.89,3.58,38.13,5.27,6.45,3.94,9.95,0.31,5
649,16.42,0.0,21.22,0.2,3.73,3.41,7.58,0.0,6
650,31.92,2.19,24.92,2.41,3.54,4.74,9.91,0.04,2
651,56.7,3.5,48.58,6.81,5.37,5.07,10.4,0.12,4
652,23.02,3.01,32.11,5.7,1.81,4.24,10.44,0.15,5
653,24.89,0.0,26.09,1.09,3.96,5.3,17.47,0.07,1
654,21.77,0.7,22.77,2.65,3.27,5.34,7.44,0.0,2
655,59.43,5.93,48.93,7.04,7.08,5.46,20.1,0.32,2
656,32.78,3.08,28.41,2.98,2.66,4.37,20.65,0.11,2
657,25.5,2.43,29.76,2.57,3.03,4.45,6.33,0.0,3
658,22.53,0.0,18.43,0.8,2.62,3.81,8.03,0.01,5
659,50.69,2.9,40.05,5.27,6.91,4.8,5.36,0.03,5
660,35.4,5.26,38.49,4.86,3.38,4.89,11.0,0.13,6
661,55.07,2.82,42.98,4.42,4.72,5.81,15.15,0.22,4
662,40.23,3.06,31.2,3.22,4.61,4.78,19.61,0.07,5
663,17.95,0.0,15.44,0.2,1.0,3.22,3.03,0.0,2
664,58.53,8.2,48.82,7.06,6.64,7.13,8.79,0.43,1
665,47.19,4.37,41.58,5.16,6.15,5.03,21.49,0.37,1
666,36.19,3.74,30.79,3.08,3.23,5.66,7.03,0.0,3
667,42.26,4.75,37.79,5.45,4.84,5.54,20.16,0.05,4
668,64.05,8.3,53.93,6.98,8.01,5.85,25.94,0.18,2
669,39.23,0.32,33.97,3.23,6.13,4.29,12.97,0.12,1
670,44.46,5.98,36.65,5.49,5.53,6.23,8.14,0.14,3
671,53.5,5.97,48.3,5.81,6.07,5.32,4.23,0.3,4
672,22.17,0.49,25.24,3.23,2.42,3.84,15.85,0.18,1
673,48.27,3.86,43.21,5.76,4.71,5.16,16.96,0.13,6
674,44.91,2.01,39.31,5.95,4.02,5.29,20.87,0.09,2
675,56.37,7.04,43.56,5.24,7.07,5.97,19.96,0.26,4
676,39.98,4.18,34.11,4.7,5.37,4.82,3.42,0.0,5
677,27.26,0.04,17.78,0.82,1.82,3.99,12.94,0.0,1
678,47.62,5.48,38.43,4.16,4.29,3.87,8.88,0.19,1
679,33.65,2.32,30.24,5.59,4.82,3.63,23.84,0.29,2
680,40.29,4.09,34.32,6.28,6.32,3.85,5.0,0.13,5
681,16.95,0.66,15.09,2.04,6.0,4.19,8.81,0.17,1
682,45.65,2.48,31.26,3.49,4.74,5.7,5.98,0.16,3
683,44.58,4.01,43.1,5.47,6.09,5.9,14.76,0.18,3
684,28.2,0.97,24.34,1.18,4.63,2.83,10.55,0.26,1
685,54.01,4.67,44.32,6.66,8.19,4.58,22.84,0.34,2
686,19.99,1.85,27.45,3.5,3.98,4.78,19.65,0.0,5
687,30.82,3.61,36.0,5.82,4.42,5.57,16.33,0.13,1
688,51.93,5.51,36.99,5.5,7.22,6.4,7.57,0.42,6
689,61.29,7.76,54.3,8.06,5.76,6.69,9.15,0.29,4
690,36.26,2.53,34.56,3.89,5.64,3.97,18.71,0.26,2
691,54.9,6.33,46.85,6.36,6.85,6.81,5.02,0.12,4
692,51.65,5.33,36.53,7.38,5.16,4.2,9.88,0.04,6
693,22.38,1.17,22.13,0.2,2.37,3.99,34.27,0.05,1
694,47.37,3.98,32.45,6.41,5.62,6.4,9.07,0.33,4
695,64.54,8.43,49.03,8.17,7.4,7.17,20.19,0.36,4
696,34.45,2.37,43.38,4.41,5.27,4.93,7.92,0.27,1
697,51.05,3.33,45.42,6.03,7.0,5.16,19.89,0.18,6
698,53.91,3.49,37.42,4.04,5.96,5.19,4.24,0.17,6
699,30.43,0.0,31.55,2.54,2.29,4.63,16.64,0.0,3
700,59.1,7.05,51.1,6.77,8.46,6.18,8.38,0.3,1
701,48.4,2.72,47.25,6.55,6.59,3.98,4.78,0.16,3
702,34.19,1.5,31.54,5.47,3.98,5.24,2.93,0.35,1
703,44.39,5.17,41.79,5.08,5.65,4.86,9.48,0.12,1
704,27.87,3.3,28.0,2.81,3.05,5.84,11.29,0.03,5
705,39.32,3.3,43.35,4.19,7.18,4.09,20.26,0.27,2
706,53.26,5.78,37.66,5.26,5.14,4.53,4.49,0.39,2
707,33.88,1.35,29.77,3.78,2.91,5.57,14.32,0.01,6
708,50.42,5.99,49.6,7.47,6.53,5.23,12.38,0.17,2
709,56.28,5.33,44.85,5.93,6.39,5.24,3.79,0.1,2
710,43.77,4.47,44.65,6.5,4.92,4.46,11.58,0.21,2
711,33.42,1.75,34.45,3.17,4.42,4.85,20.85,0.27,1
712,52.44,6.72,39.48,6.63,6.63,5.43,18.7,0.43,6
713,34.74,2.38,30.64,2.42,3.39,4.83,22.26,0.17,6
714,29.44,1.5,27.33,1.38,1.62,4.21,42.47,0.08,2
715,33.75,3.31,29.6,7.62,3.8,4.29,17.38,0.26,1
716,40.19,4.43,35.83,4.74,6.34,4.65,12.28,0.36,2
717,49.76,6.33,47.03,5.62,6.67,5.8,12.7,0.2,4
718,74.98,6.57,57.75,10.07,8.03,7.14,10.3,0.26,4
719,28.57,0.46,30.16,2.74,4.63,6.05,23.82,0.14,1
720,55.89,2.66,43.5,4.97,6.31,6.46,3.54,0.35,4
721,25.42,2.05,29.71,1.74,4.55,4.7,6.73,0.12,1
722,27.58,1.96,24.38,2.41,3.75,4.68,12.5,0.22,1
723,64.31,5.34,58.61,9.29,6.96,6.5,21.06,0.15,4
724,44.9,3.14,34.63,4.82,5.44,4.23,5.75,0.07,2
725,42.12,4.08,45.91,7.55,5.3,5.35,17.82,0.05,1
726,54.55,5.28,39.88,7.77,4.83,7.05,9.52,0.23,3
727,32.11,3.66,31.38,3.79,4.14,3.95,10.02,0.07,5
728,31.3,2.11,28.15,4.21,3.21,3.65,7.28,0.16,1
729,40.74,3.26,39.52,7.28,3.95,5.28,25.8,0.16,1
730,43.39,5.24,49.44,5.82,6.55,6.45,20.69,0.04,3
731,39.67,2.48,37.1,3.6,5.9,5.73,20.1,0.39,2
732,20.38,3.39,20.16,1.06,2.12,4.21,19.52,0.0,4
733,60.9,7.17,47.61,10.14,7.24,4.56,5.15,0.09,3
734,39.65,2.68,33.86,5.04,3.59,5.49,9.4,0.1,2
735,56.94,5.95,48.28,7.29,6.22,5.37,8.78,0.1,4
736,26.37,3.34,19.23,1.94,2.6,4.31,15.09,0.29,5
737,25.33,0.0,21.34,2.01,4.64,4.74,17.62,0.0,3
738,65.56,7.49,45.44,6.58,6.87,4.87,19.62,0.22,3
739,44.33,3.24,28.8,4.68,3.97,5.6,35.26,0.21,4
740,70.85,5.89,52.95,9.34,6.48,5.68,19.77,0.33,3
741,31.86,0.76,35.77,4.39,2.21,3.55,14.37,0.1,1
742,37.66,1.63,25.44,5.26,3.98,3.62,6.55,0.15,3
743,52.19,5.21,37.67,5.27,5.11,6.04,13.9,0.14,4
744,45.86,5.91,31.98,2.08,4.94,5.7,25.82,0.0,2
745,33.66,1.96,34.91,3.78,4.43,3.56,5.28,0.1,3
746,15.66,0.12,17.67,1.91,3.38,4.38,18.57,0.0,1
747,54.46,6.13,57.14,6.19,6.15,5.4,6.54,0.16,1
748,36.75,3.72,41.11,5.28,5.3,5.27,7.56,0.01,5
749,37.62,4.11,38.76,3.12,4.75,5.06,12.09,0.15,4
750,30.01,2.92,24.6,4.19,4.75,5.26,5.23,0.0,1
751,39.34,4.92,37.88,4.35,3.0,4.75,7.66,0.0,2
752,22.29,0.0,32.02,0.59,3.97,3.32,16.77,0.13,1
753,35.09,0.0,26.1,3.04,4.49,4.55,2.98,0.02,3
754,38.84,5.31,31.7,1.73,4.87,3.72,6.99,0.21,2
755,43.36,1.91,43.88,2.65,4.24,5.53,9.64,0.23,2
756,64.03,6.84,47.39,7.78,6.36,6.38,17.44,0.25,4
757,51.49,5.36,37.74,6.02,5.19,5.99,45.0,0.17,3
758,47.24,4.43,34.78,5.33,2.18,6.19,25.35,0.29,6
759,38.74,4.31,48.05,5.95,5.32,5.14,22.08,0.16,2
760,39.38,2.71,41.75,5.37,2.53,4.67,12.65,0.26,6
761,35.34,2.97,25.82,3.39,4.03,4.88,12.65,0.24,4
762,60.48,8.0,45.38,7.42,7.18,5.33,10.78,0.43,4
763,56.34,7.21,43.69,7.41,7.1,5.61,4.02,0.25,4
764,47.45,6.01,37.93,6.12,5.55,5.0,10.85,0.1,3
765,66.74,7.98,58.89,8.25,6.83,7.24,17.43,0.37,2
766,42.51,3.52,38.97,3.46,3.89,5.02,12.99,0.22,5
767,50.28,4.29,42.24,8.57,5.9,5.65,13.72,0.18,1
768,55.08,6.6,47.17,4.73,6.56,5.45,12.0,0.18,4
769,44.63,5.73,48.53,6.48,5.95,5.68,3.57,0.25,1
770,60.75,7.26,43.48,8.19,7.22,7.07,10.63,0.22,6
771,29.14,1.86,28.49,2.43,3.75,4.08,4.98,0.06,3
772,35.21,2.37,23.19,3.99,4.76,5.38,18.32,0.13,3
